Time,HUM
   9.454778051,  56.873897552
   9.535125888,  57.046600342
   9.615473725,  56.949302673
   9.695821562,  56.764434814
   9.776169399,  56.951736450
   9.856517235,  56.939571381
   9.936865072,  56.915248871
  10.017212909,  56.903083801
  10.097560746,  56.910381317
  10.177908583,  56.939571381
  10.258256420,  56.949302673
  10.338604256,  56.886058807
  10.418952093,  56.983356476
  10.499299930,  56.905517578
  10.579647767,  56.951736450
  10.659995604,  56.988220215
  10.740343441,  56.895786285
  10.820691277,  56.951736450
  10.901039114,  56.968761444
  10.981386951,  56.917678833
  11.061734788,  56.869029999
  11.142082625,  56.910381317
  11.222430462,  56.861732483
  11.302778298,  56.937141418
  11.383126135,  56.924976349
  11.463473972,  56.903083801
  11.543821809,  57.002815247
  11.624169646,  56.886058807
  11.704517483,  56.980922699
  11.784865319,  56.898220062
  11.865213156,  56.949302673
  11.945560993,  56.949302673
  12.025908830,  57.027141571
  12.106256667,  56.995517731
  12.186605811,  56.949302673
  12.266954955,  56.898220062
  12.347304100,  56.900653839
  12.427653244,  57.029575348
  12.508002388,  56.978492737
  12.588351533,  56.859302521
  12.668700677,  56.966327667
  12.749049821,  56.859302521
  12.829398966,  56.905517578
  12.909748110,  56.946868896
  12.990097254,  56.924976349
  13.070446399,  56.864166260
  13.150795543,  56.791191101
  13.231144687,  56.951736450
  13.311493832,  56.942005157
  13.391842976,  56.903083801
  13.472192120,  56.939571381
  13.552541265,  56.929843903
  13.632890409,  56.900653839
  13.713239553,  56.951736450
  13.793588698,  56.963897705
  13.873937842,  56.888488770
  13.954286986,  56.910381317
  14.034636131,  57.022277832
  14.114985275,  56.895786285
  14.195334419,  56.861732483
  14.275683564,  56.976058960
  14.356032708,  56.881195068
  14.436381852,  56.924976349
  14.516730997,  56.915248871
  14.597080141,  56.876327515
  14.677429285,  56.898220062
  14.757778430,  56.927410126
  14.838127574,  56.990653992
  14.918476718,  56.764434814
  14.998825863,  56.963897705
  15.079175007,  56.825244904
  15.159524151,  56.842273712
  15.239873296,  56.915248871
  15.320222440,  56.859302521
  15.400571584,  56.893356323
  15.480920729,  56.980922699
  15.561269873,  56.917678833
  15.641619017,  56.886058807
  15.721968162,  56.963897705
  15.802317306,  56.961463928
  15.882666450,  57.012546539
  15.963015595,  56.978492737
  16.043364739,  56.900653839
  16.123713883,  56.873897552
  16.204067990,  56.895786285
  16.284422097,  56.939571381
  16.364776204,  56.883625031
  16.445130311,  56.888488770
  16.525484418,  56.852005005
  16.605838525,  56.920112610
  16.686192632,  56.888488770
  16.766546739,  56.966327667
  16.846900846,  56.866600037
  16.927254953,  56.856868744
  17.007609060,  56.866600037
  17.087963167,  56.912815094
  17.168317274,  56.900653839
  17.248671381,  56.900653839
  17.329025488,  56.944438934
  17.409379595,  56.954166412
  17.489733702,  56.839839935
  17.570087809,  56.873897552
  17.650441916,  56.849571228
  17.730796023,  56.883625031
  17.811150130,  56.886058807
  17.891504237,  56.912815094
  17.971858344,  56.740108490
  18.052212451,  56.871463776
  18.132566558,  56.859302521
  18.212920665,  56.873897552
  18.293274772,  56.869029999
  18.373628879,  56.900653839
  18.453982986,  56.886058807
  18.534337093,  56.900653839
  18.614691200,  56.917678833
  18.695045307,  56.864166260
  18.775399414,  56.849571228
  18.855753521,  56.808219910
  18.936107628,  56.888488770
  19.016461735,  56.944438934
  19.096815842,  56.798488617
  19.177169949,  56.898220062
  19.257524056,  56.856868744
  19.337878163,  56.820381165
  19.418232270,  56.907951355
  19.498586377,  56.839839935
  19.578940484,  56.888488770
  19.659294591,  56.849571228
  19.739648698,  56.864166260
  19.820002805,  56.849571228
  19.900356912,  56.903083801
  19.980711019,  56.866600037
  20.061065126,  56.839839935
  20.141419233,  56.834976196
  20.221758754,  56.871463776
  20.302098275,  56.832542419
  20.382437795,  56.793624878
  20.462777316,  56.869029999
  20.543116837,  56.873897552
  20.623456357,  56.878761292
  20.703795878,  56.920112610
  20.784135399,  56.852005005
  20.864474919,  56.917678833
  20.944814440,  56.854434967
  21.025153961,  56.893356323
  21.105493481,  56.871463776
  21.185833002,  56.837409973
  21.266172523,  56.822814941
  21.346512043,  56.961463928
  21.426851564,  56.993087769
  21.507191085,  56.825244904
  21.587530605,  56.888488770
  21.667870126,  56.881195068
  21.748209647,  56.898220062
  21.828549167,  56.864166260
  21.908888688,  56.922546387
  21.989228209,  56.895786285
  22.069567729,  56.859302521
  22.149907250,  56.920112610
  22.230246771,  56.946868896
  22.310586291,  56.888488770
  22.390925812,  56.927410126
  22.471265333,  56.854434967
  22.551604853,  56.890922546
  22.631944374,  56.859302521
  22.712283895,  56.980922699
  22.792623415,  56.978492737
  22.872962936,  56.990653992
  22.953302457,  57.041736603
  23.033641977,  56.847137451
  23.113981498,  56.852005005
  23.194321019,  56.886058807
  23.274660539,  56.922546387
  23.355000060,  56.864166260
  23.435339581,  56.886058807
  23.515679101,  56.864166260
  23.596018622,  56.825244904
  23.676358143,  56.900653839
  23.756697663,  56.929843903
  23.837037184,  56.888488770
  23.917376705,  56.895786285
  23.997716225,  56.937141418
  24.078055746,  56.830112457
  24.158395267,  56.934707642
  24.238734900,  56.963897705
  24.319074534,  56.881195068
  24.399414167,  56.954166412
  24.479753801,  56.978492737
  24.560093434,  56.959033966
  24.640433068,  56.856868744
  24.720772701,  56.944438934
  24.801112335,  56.905517578
  24.881451968,  56.917678833
  24.961791602,  56.912815094
  25.042131235,  56.929843903
  25.122470869,  56.961463928
  25.202810502,  56.937141418
  25.283150136,  56.886058807
  25.363489769,  56.793624878
  25.443829403,  56.988220215
  25.524169036,  56.963897705
  25.604508670,  57.036872864
  25.684848303,  57.000385284
  25.765187937,  57.085521698
  25.845527570,  57.002815247
  25.925867204,  56.966327667
  26.006206837,  56.949302673
  26.086546471,  56.973625183
  26.166886104,  56.924976349
  26.247225738,  56.956600189
  26.327565371,  56.961463928
  26.407905005,  56.959033966
  26.488244638,  56.954166412
  26.568584272,  57.019844055
  26.648923905,  56.990653992
  26.729263539,  57.046600342
  26.809603172,  56.888488770
  26.889942806,  57.019844055
  26.970282439,  56.995517731
  27.050622073,  56.971195221
  27.130961706,  57.090385437
  27.211301340,  57.104980469
  27.291640973,  56.959033966
