Time,TEMP
   6.883410158,  29.428571701
   6.963773802,  29.504762650
   7.044137447,  29.466667175
   7.124501091,  29.466667175
   7.204864736,  29.485713959
   7.285228380,  29.504762650
   7.365592024,  29.390476227
   7.445955669,  29.466667175
   7.526319314,  29.504762650
   7.606682958,  29.466667175
   7.687046603,  29.466667175
   7.767410247,  29.466667175
   7.847773892,  29.504762650
   7.928137536,  29.466667175
   8.008501180,  29.504762650
   8.088864825,  29.466667175
   8.169212662,  29.504762650
   8.249560499,  29.485713959
   8.329908336,  29.523809433
   8.410256172,  29.523809433
   8.490604009,  29.504762650
   8.570951846,  29.466667175
   8.651299683,  29.485713959
   8.731647520,  29.447618484
   8.811995357,  29.466667175
   8.892343193,  29.504762650
   8.972691030,  29.466667175
   9.053038867,  29.466667175
   9.133386704,  29.466667175
   9.213734541,  29.485713959
   9.294082378,  29.485713959
   9.374430214,  29.485713959
   9.454778051,  29.466667175
   9.535125888,  29.447618484
   9.615473725,  29.390476227
   9.695821562,  29.447618484
   9.776169399,  29.447618484
   9.856517235,  29.447618484
   9.936865072,  29.390476227
  10.017212909,  29.390476227
  10.097560746,  29.466667175
  10.177908583,  29.390476227
  10.258256420,  29.428571701
  10.338604256,  29.390476227
  10.418952093,  29.390476227
  10.499299930,  29.390476227
  10.579647767,  29.409523010
  10.659995604,  29.390476227
  10.740343441,  29.390476227
  10.820691277,  29.352380753
  10.901039114,  29.390476227
  10.981386951,  29.371429443
  11.061734788,  29.409523010
  11.142082625,  29.390476227
  11.222430462,  29.428571701
  11.302778298,  29.409523010
  11.383126135,  29.428571701
  11.463473972,  29.409523010
  11.543821809,  29.371429443
  11.624169646,  29.409523010
  11.704517483,  29.428571701
  11.784865319,  29.409523010
  11.865213156,  29.428571701
  11.945560993,  29.390476227
  12.025908830,  29.390476227
  12.106256667,  29.390476227
  12.186605811,  29.447618484
  12.266954955,  29.409523010
  12.347304100,  29.409523010
  12.427653244,  29.447618484
  12.508002388,  29.409523010
  12.588351533,  29.409523010
  12.668700677,  29.466667175
  12.749049821,  29.409523010
  12.829398966,  29.409523010
  12.909748110,  29.409523010
  12.990097254,  29.409523010
  13.070446399,  29.447618484
  13.150795543,  29.485713959
  13.231144687,  29.428571701
  13.311493832,  29.447618484
  13.391842976,  29.409523010
  13.472192120,  29.428571701
  13.552541265,  29.447618484
  13.632890409,  29.447618484
  13.713239553,  29.447618484
  13.793588698,  29.447618484
  13.873937842,  29.409523010
  13.954286986,  29.428571701
  14.034636131,  29.523809433
  14.114985275,  29.447618484
  14.195334419,  29.485713959
  14.275683564,  29.504762650
  14.356032708,  29.504762650
  14.436381852,  29.485713959
  14.516730997,  29.504762650
  14.597080141,  29.485713959
  14.677429285,  29.485713959
  14.757778430,  29.485713959
  14.838127574,  29.504762650
  14.918476718,  29.485713959
  14.998825863,  29.523809433
  15.079175007,  29.561904907
  15.159524151,  29.504762650
  15.239873296,  29.447618484
  15.320222440,  29.523809433
  15.400571584,  29.580951691
  15.480920729,  29.523809433
  15.561269873,  29.542856216
  15.641619017,  29.485713959
  15.721968162,  29.561904907
  15.802317306,  29.523809433
  15.882666450,  29.523809433
  15.963015595,  29.542856216
  16.043364739,  29.504762650
  16.123713883,  29.523809433
  16.204067990,  29.561904907
  16.284422097,  29.561904907
  16.364776204,  29.523809433
  16.445130311,  29.580951691
  16.525484418,  29.504762650
  16.605838525,  29.523809433
  16.686192632,  29.523809433
  16.766546739,  29.523809433
  16.846900846,  29.504762650
  16.927254953,  29.561904907
  17.007609060,  29.561904907
  17.087963167,  29.523809433
  17.168317274,  29.504762650
  17.248671381,  29.523809433
  17.329025488,  29.523809433
  17.409379595,  29.485713959
  17.489733702,  29.447618484
  17.570087809,  29.485713959
  17.650441916,  29.466667175
  17.730796023,  29.504762650
  17.811150130,  29.523809433
  17.891504237,  29.523809433
  17.971858344,  29.485713959
  18.052212451,  29.428571701
  18.132566558,  29.428571701
  18.212920665,  29.466667175
  18.293274772,  29.485713959
